bag_id,footprint_area_m2,point_count,roof_density_pts_m2,below_10,has_dwellings
0503100000001494,62.02,3673,59.22,false,true
0503100000001495,62.00,3737,60.27,false,true
0503100000001496,6.95,381,54.79,false,false
0503100000001498,60.51,3574,59.06,false,true
0503100000001499,884.56,74928,84.71,false,true
0503100000001500,18.34,2496,136.09,false,true
0503100000001501,16.85,1372,81.41,false,true
0503100000001502,118.27,2203,18.63,false,true
0503100000001545,424.16,12504,29.48,false,true
0503100000001546,15.42,574,37.21,false,false
0503100000001547,53.37,4754,89.08,false,true
0503100000001928,61.99,2962,47.78,false,true
0503100000001929,18.36,2057,112.04,false,true
0503100000001930,63.67,3081,48.39,false,true
0503100000001931,64.11,3154,49.20,false,true
0503100000001932,582.64,16526,28.36,false,true
0503100000001933,51.54,1925,37.35,false,true
0503100000001934,10.32,363,35.18,false,true
0503100000001935,1401.57,45675,32.59,false,true
0503100000001936,53.96,2134,39.55,false,true
0503100000001937,51.81,1931,37.27,false,true
0503100000001938,51.49,1911,37.11,false,true
0503100000001939,9.24,303,32.79,false,false
0503100000000020,1970.55,165027,83.75,false,true
0503100000000021,780.12,50623,64.89,false,true
0503100000000022,853.34,33197,38.90,false,true
0503100000002020,51.66,1889,36.57,false,true
0503100000002021,51.51,1878,36.46,false,true
0503100000002022,9.37,394,42.06,false,false
0503100000002023,53.54,2213,41.33,false,true
0503100000002024,9.26,366,39.50,false,false
0503100000002025,51.76,1949,37.65,false,true
0503100000002026,52.67,3112,59.09,false,true
0503100000002027,9.35,363,38.81,false,false
0503100000002028,9.24,538,58.21,false,false
0503100000002029,9.21,564,61.21,false,false
0503100000002030,9.31,377,40.48,false,false
0503100000002031,51.75,1984,38.34,false,true
0503100000002032,50.94,3912,76.79,false,true
0503100000002033,52.04,2187,42.02,false,true
0503100000002034,1296.50,45886,35.39,false,true
0503100000001710,62.14,1649,26.54,false,true
0503100000001711,54.96,1528,27.80,false,true
0503100000001712,60.97,1588,26.04,false,true
0503100000001713,62.26,1894,30.42,false,true
0503100000001714,60.89,3312,54.39,false,true
0503100000001715,61.03,1687,27.64,false,true
0503100000001716,60.81,1733,28.50,false,true
0503100000001717,62.11,1909,30.74,false,true
0503100000001718,60.90,1740,28.57,false,true
0503100000001719,61.01,3270,53.59,false,true
0503100000001720,62.34,3844,61.66,false,true
0503100000001721,60.88,3502,57.53,false,true
0503100000001722,62.84,3772,60.03,false,true
0503100000001723,60.82,3356,55.18,false,true
0503100000001724,51.69,1732,33.51,false,true
0503100000000144,1231.36,66944,54.37,false,true
0503100000000166,60.69,1827,30.10,false,true
0503100000000167,60.90,3456,56.75,false,true
0503100000000168,1346.90,61038,45.32,false,true
0503100000000169,1543.76,46511,30.13,false,true
0503100000000190,59.51,2883,48.45,false,true
0503100000000191,50.59,2306,45.58,false,true
0503100000000193,1989.60,86204,43.33,false,true
0503100000000195,682.54,24502,35.90,false,true
0503100000004387,9.28,278,29.95,false,false
0503100000009003,54.93,1983,36.10,false,true
0503100000009004,104.11,3251,31.23,false,true
0503100000009005,55.02,1798,32.68,false,true
0503100000009006,54.99,2304,41.90,false,true
0503100000009007,55.00,2435,44.27,false,true
0503100000009008,71.74,8425,117.44,false,true
0503100000009009,69.91,2072,29.64,false,true
0503100000009010,54.41,1573,28.91,false,true
0503100000009011,54.81,1618,29.52,false,true
0503100000009012,56.46,1601,28.35,false,true
0503100000009013,55.10,1586,28.79,false,true
0503100000009014,55.03,1611,29.28,false,true
0503100000009015,54.71,1581,28.90,false,true
0503100000009016,54.92,1627,29.62,false,true
0503100000009017,56.12,2004,35.71,false,true
0503100000009018,55.06,1578,28.66,false,true
0503100000009019,18.51,506,27.33,false,false
0503100000009020,894.81,25356,28.34,false,true
0503100000009021,18.40,1932,105.02,false,true
0503100000009022,583.31,15217,26.09,false,true
0503100000011454,18.39,538,29.25,false,true
0503100000011455,6.83,393,57.58,false,false
0503100000011456,7.00,384,54.89,false,false
0503100000011457,6.90,1077,156.13,false,false
0503100000011458,61.23,6997,114.27,false,true
0503100000011459,6.98,413,59.15,false,false
0503100000008848,62.25,3520,56.55,false,true
0503100000008849,29.09,1698,58.36,false,true
0503100000008850,422.91,15221,35.99,false,true
0503100000008851,17.62,571,32.41,false,true
0503100000008852,18.00,602,33.44,false,true
0503100000008853,16.46,502,30.50,false,true
0503100000008854,16.54,537,32.46,false,true
0503100000008855,16.42,491,29.91,false,true
0503100000008856,24.77,813,32.82,false,true
0503100000008857,17.57,588,33.46,false,true
0503100000008858,24.12,839,34.78,false,true
0503100000008859,17.62,568,32.23,false,true
0503100000008860,18.89,1623,85.94,false,true
0503100000008861,16.53,895,54.14,false,true
0503100000008862,16.41,496,30.22,false,true
0503100000008863,16.53,514,31.09,false,true
0503100000008864,25.77,831,32.24,false,true
0503100000008865,17.25,581,33.68,false,true
0503100000008866,17.26,565,32.74,false,true
0503100000008867,17.49,583,33.33,false,true
0503100000008868,18.98,1030,54.26,false,true
0503100000008869,18.98,692,36.45,false,true
0503100000008870,16.47,508,30.85,false,true
0503100000008871,17.64,580,32.87,false,true
0503100000011548,6.95,459,66.01,false,false
0503100000008872,17.19,573,33.33,false,true
0503100000011549,47.29,2451,51.83,false,true
0503100000011550,47.34,2441,51.57,false,true
0503100000011551,6.93,409,59.06,false,false
0503100000011552,678.24,44349,65.39,false,true
0503100000011553,47.25,2460,52.06,false,true
0503100000011554,47.39,2446,51.62,false,true
0503100000008880,154.89,6118,39.50,false,true
0503100000008881,73.93,1203,16.27,false,true
0503100000011562,16.89,2127,125.95,false,true
0503100000011563,16.79,1843,109.76,false,true
0503100000011564,16.72,1022,61.11,false,true
0503100000011565,16.77,654,39.00,false,true
0503100000011566,16.89,1531,90.67,false,true
0503100000011567,16.88,1694,100.34,false,true
0503100000011568,10.39,226,21.75,false,true
0503100000011569,18.03,174,9.65,true,true
0503100000011570,16.86,233,13.82,false,true
0503100000011571,16.89,323,19.13,false,true
0503100000011572,17.03,352,20.67,false,true
0503100000010260,235.72,16902,71.71,false,true
0503100000010264,18.44,1431,77.60,false,true
0503100000010265,53.37,4790,89.76,false,true
0503100000010266,62.02,4246,68.46,false,true
0503100000010267,54.11,2962,54.74,false,true
0503100000010268,53.52,3318,61.99,false,true
0503100000010269,12.04,1884,156.44,false,false
0503100000010270,54.94,5010,91.19,false,true
0503100000010271,54.89,3075,56.02,false,true
0503100000010272,98.43,7642,77.64,false,true
0503100000010273,54.93,3238,58.95,false,true
0503100000010274,55.01,3188,57.95,false,true
0503100000010275,56.62,2137,37.74,false,true
0503100000010276,62.26,1681,27.00,false,true
0503100000010277,56.22,1656,29.46,false,true
0503100000010278,54.90,3176,57.85,false,true
0503100000010279,54.86,2794,50.93,false,true
0503100000010281,56.49,3830,67.80,false,true
0503100000011657,16.80,2081,123.86,false,true
0503100000011658,16.86,1843,109.30,false,true
0503100000010364,61.83,2987,48.31,false,true
0503100000010365,76.35,4151,54.37,false,true
0503100000010366,71.00,3949,55.62,false,true
0503100000010367,54.78,2929,53.46,false,true
0503100000010368,56.44,3077,54.52,false,true
0503100000010369,63.76,3245,50.89,false,true
0503100000010370,61.91,3527,56.97,false,true
0503100000010371,55.01,3120,56.72,false,true
0503100000010372,56.55,3196,56.51,false,true
0503100000010373,54.66,1485,27.17,false,true
0503100000010374,54.96,3060,55.68,false,true
0503100000010375,54.72,1572,28.73,false,true
0503100000010376,54.77,3074,56.13,false,true
0503100000010377,54.38,2905,53.42,false,true
0503100000010379,63.45,1726,27.20,false,true
0503100000010380,61.08,1717,28.11,false,true
0503100000010381,60.87,1700,27.93,false,true
0503100000010382,60.68,1631,26.88,false,true
0503100000010383,111.43,3048,27.35,false,true
0503100000010384,60.79,1638,26.95,false,true
0503100000010385,63.49,1802,28.38,false,true
0503100000010386,60.91,1705,27.99,false,true
0503100000010387,60.88,1794,29.47,false,true
0503100000010388,60.91,1739,28.55,false,true
0503100000010389,61.02,1701,27.88,false,true
0503100000010390,60.96,1715,28.14,false,true
0503100000010391,62.15,1649,26.53,false,true
0503100000010392,60.73,1732,28.52,false,true
0503100000010393,60.98,3172,52.02,false,true
0503100000010394,62.41,1756,28.14,false,true
0503100000010395,60.89,2077,34.11,false,true
0503100000010396,60.93,5111,83.88,false,true
0503100000010397,71.41,4829,67.62,false,true
0503100000010398,60.92,4662,76.53,false,true
0503100000010399,62.27,5786,92.92,false,true
0503100000010400,60.92,4060,66.65,false,true
0503100000010401,62.47,3599,57.61,false,true
0503100000010402,60.95,3578,58.71,false,true
0503100000010403,18.33,1688,92.11,false,true
0503100000011806,18.43,2594,140.73,false,true
0503100000011807,18.49,577,31.21,false,true
0503100000011808,596.27,16454,27.59,false,true
0503100000011809,61.06,1622,26.56,false,true
0503100000011810,124.80,3448,27.63,false,true
0503100000011811,62.25,1963,31.53,false,true
0503100000011812,68.03,1943,28.56,false,true
0503100000011813,60.86,1717,28.21,false,true
0503100000011814,60.87,1762,28.95,false,true
0503100000011815,62.31,2847,45.69,false,true
0503100000011816,61.04,1822,29.85,false,true
0503100000011817,60.87,2920,47.97,false,true
0503100000011818,60.01,2680,44.66,false,true
0503100000011819,62.59,1636,26.14,false,true
0503100000011820,60.31,2743,45.48,false,true
0503100000011821,61.07,1715,28.08,false,true
0503100000011822,61.06,2213,36.24,false,true
0503100000011823,60.39,2819,46.68,false,true
0503100000011824,60.89,2616,42.96,false,true
0503100000011825,60.98,3371,55.28,false,true
0503100000011826,60.92,3401,55.83,false,true
0503100000011827,55.79,3045,54.58,false,true
0503100000011828,49.37,2837,57.46,false,true
0503100000011829,65.01,3798,58.43,false,true
0503100000011830,55.65,3013,54.14,false,true
0503100000011831,55.73,3079,55.25,false,true
0503100000011832,55.08,3016,54.76,false,true
0503100000012850,10.72,315,29.39,false,true
0503100000012851,9.26,285,30.78,false,false
0503100000012852,9.28,645,69.51,false,false
0503100000010887,12.08,1122,92.86,false,false
0503100000010888,23.45,1582,67.47,false,false
0503100000010889,6.90,377,54.63,false,false
0503100000010890,1415.29,54099,38.22,false,true
0503100000010893,18.00,1313,72.94,false,true
0503100000010894,16.87,1453,86.14,false,true
0503100000010895,16.86,1521,90.20,false,true
0503100000010896,16.78,1480,88.22,false,true
0503100000010897,16.67,1538,92.23,false,true
0503100000010898,16.83,1504,89.38,false,true
0503100000010899,16.70,1609,96.32,false,true
0503100000011915,16.94,636,37.55,false,true
0503100000011916,16.86,626,37.14,false,true
0503100000011917,10.39,1560,150.09,false,true
0503100000011918,16.84,515,30.58,false,true
0503100000011919,16.86,597,35.41,false,true
0503100000011920,17.98,668,37.15,false,true
0503100000011921,64.98,2572,39.58,false,true
0503100000011922,16.84,605,35.92,false,true
0503100000011923,16.84,601,35.69,false,true
0503100000011924,18.12,526,29.02,false,true
0503100000011925,16.81,617,36.70,false,true
0503100000011926,16.86,644,38.19,false,true
0503100000013767,9.24,257,27.82,false,false
0503100000013768,9.26,272,29.39,false,false
0503100000013769,9.28,287,30.92,false,false
0503100000013770,71.60,1973,27.56,false,true
0503100000013771,9.26,251,27.11,false,false
0503100000013772,9.24,337,36.48,false,false
0503100000013773,10.65,1024,96.16,false,true
0503100000013774,10.34,751,72.65,false,false
0503100000013775,10.52,539,51.24,false,false
0503100000013776,10.33,709,68.63,false,false
0503100000013777,10.37,511,49.30,false,false
0503100000013778,50.95,3868,75.92,false,true
0503100000013779,51.84,4267,82.31,false,true
0503100000013780,51.85,3934,75.87,false,true
0503100000014644,76.25,2910,38.16,false,true
0503100000014645,53.20,2117,39.79,false,true
0503100000014646,9.21,340,36.93,false,false
0503100000014647,9.25,477,51.59,false,false
0503100000014648,51.73,2066,39.93,false,true
0503100000014649,51.79,2157,41.65,false,true
0503100000014650,9.18,412,44.88,false,false
0503100000014651,9.22,352,38.17,false,false
