bag_id,alan,footprint_area_m2,bouwjaar,status,gebruiksdoel,class6_points,roof_p30_z_nap_m,roof_p70_z_nap_m,roof_p90_z_nap_m,roof_span_m,ground_ring_points,ground_z_nap_m,h_measured_m
0503100000001482,B,56.79,1998,Pand in gebruik,woonfunctie,1224,7.050,7.150,7.250,0.200,2104,-1.350,8.500
0503100000001483,B,71.16,1998,Pand in gebruik,woonfunctie,1520,5.050,7.050,7.150,2.100,3485,-1.450,8.500
0503100000001484,B,8.32,1969,Pand in gebruik,,358,0.750,0.750,0.750,0.000,2239,-1.750,2.500
0503100000001485,B,64.75,1971,Pand in gebruik,woonfunctie,2776,4.650,6.350,7.150,2.500,4181,-1.650,8.000
0503100000001486,B,64.95,1971,Pand in gebruik,woonfunctie,2750,4.650,6.350,7.250,2.600,4724,-1.550,7.900
0503100000001487,B,64.76,1971,Pand in gebruik,woonfunctie,2740,4.650,6.550,7.250,2.600,4023,-1.450,8.000
0503100000001488,B,64.80,1971,Pand in gebruik,woonfunctie,2718,4.550,6.550,7.250,2.700,4492,-1.550,8.100
0503100000001489,B,64.90,1971,Pand in gebruik,woonfunctie,2734,4.650,6.350,7.250,2.600,4395,-1.450,7.800
0503100000001490,B,64.93,1971,Pand in gebruik,woonfunctie,2720,4.650,6.350,7.150,2.500,4246,-1.550,7.900
0503100000001491,B,66.39,1971,Pand in gebruik,woonfunctie,2805,4.650,6.350,7.150,2.500,6152,-1.550,7.900
0503100000001492,B,64.82,1971,Pand in gebruik,woonfunctie,2766,4.650,6.550,7.150,2.500,4465,-1.550,8.100
0503100000001493,B,64.81,1971,Pand in gebruik,woonfunctie,2722,4.650,6.350,7.250,2.600,4840,-1.550,7.900
0503100000001494,A,62.02,1965,Pand in gebruik,woonfunctie,3057,6.750,6.850,6.950,0.200,4660,-1.150,8.000
0503100000001495,A,62.00,1965,Pand in gebruik,woonfunctie,3095,8.850,10.050,10.650,1.800,4770,-1.250,11.300
0503100000001496,A,6.95,1991,Pand in gebruik,,329,2.350,2.350,2.450,0.100,4301,-0.350,2.700
0503100000001498,A,60.51,1991,Pand in gebruik,woonfunctie,2863,2.650,8.150,8.250,5.600,8042,-0.350,8.500
0503100000001499,A,884.56,1963,Pand in gebruik,"overige gebruiksfunctie,woonfunctie",45603,34.650,34.650,34.750,0.100,21194,-0.350,35.000
0503100000001500,A,18.34,1961,Pand in gebruik,overige gebruiksfunctie,592,2.050,2.050,2.050,0.000,3948,-0.450,2.500
0503100000001501,A,16.85,1961,Pand in gebruik,overige gebruiksfunctie,302,1.950,2.050,2.050,0.100,2505,-0.550,2.600
0503100000001502,A,118.27,1974,Pand in gebruik,winkelfunctie,2086,3.650,4.350,4.450,0.800,3772,0.150,4.200
