bag_id,footprint_area_m2,alan,gebruiksdoel,bouwjaar,status,point_count,building_class_ratio,ground_class_ratio,single_return_density_above_2m,class6_footprint_coverage
0503100000038250,2111.91,B,onderwijsfunctie,2024,Pand in gebruik,72061,0.0000,0.9999,0.000,0.0000
0503100000038184,996.55,A,onderwijsfunctie,2023,Pand in gebruik,81963,0.0000,0.9891,0.000,0.0000
0503100000038253,496.10,B,woonfunctie,2025,Pand in gebruik,7745,0.0000,1.0000,0.000,0.0000
0503100000038699,339.97,B,"kantoorfunctie,woonfunctie",2026,Pand in gebruik,5661,0.0000,0.8654,0.832,0.0000
0503100000038426,336.72,B,"kantoorfunctie,woonfunctie",2026,Pand in gebruik,5703,0.0000,0.8257,0.039,0.0000
0503100000040432,298.33,B,woonfunctie,2026,Pand in gebruik (niet ingemeten),4754,0.0000,0.9844,0.000,0.0000
0503100000038418,68.98,B,woonfunctie,2024,Pand in gebruik,1111,0.0000,0.9838,0.000,0.0000
0503100000038411,67.83,B,woonfunctie,2024,Pand in gebruik,1099,0.0000,0.9864,0.000,0.0000
0503100000038417,66.82,B,woonfunctie,2024,Pand in gebruik,1084,0.0000,0.9908,0.000,0.0000
0503100000038416,66.80,B,woonfunctie,2024,Pand in gebruik,1066,0.0000,0.9953,0.000,0.0000
0503100000038415,66.79,B,woonfunctie,2024,Pand in gebruik,1099,0.0000,0.9936,0.000,0.0000
0503100000038414,66.76,B,woonfunctie,2024,Pand in gebruik,1084,0.0000,0.9945,0.000,0.0000
0503100000038413,66.75,B,woonfunctie,2024,Pand in gebruik,1060,0.0000,0.9953,0.000,0.0000
0503100000038412,66.73,B,woonfunctie,2024,Pand in gebruik,1069,0.0000,0.9972,0.000,0.0000
0503100000038410,66.69,B,woonfunctie,2024,Pand in gebruik,1047,0.0000,0.9952,0.000,0.0000
0503100000038409,66.67,B,woonfunctie,2024,Pand in gebruik,1076,0.0000,0.9963,0.000,0.0000
0503100000038408,66.66,B,woonfunctie,2024,Pand in gebruik,1101,0.0000,0.9955,0.000,0.0000
0503100000038407,66.64,B,woonfunctie,2024,Pand in gebruik,1067,0.0000,0.9934,0.000,0.0000
0503100000038406,66.62,B,woonfunctie,2024,Pand in gebruik,1077,0.0000,0.9972,0.000,0.0000
0503100000038405,66.60,B,woonfunctie,2024,Pand in gebruik,1089,0.0000,0.9871,0.000,0.0000
0503100000038404,66.58,B,woonfunctie,2024,Pand in gebruik,1078,0.0000,0.9926,0.000,0.0000
0503100000038403,65.76,B,woonfunctie,2024,Pand in gebruik,1062,0.0000,0.9925,0.000,0.0000
0503100000039688,65.03,B,woonfunctie,2026,Pand in gebruik (niet ingemeten),968,0.0000,0.8750,0.784,0.0000
0503100000037574,60.81,B,woonfunctie,2024,Pand in gebruik,950,0.0000,0.9926,0.000,0.0000
0503100000038402,27.88,B,,2024,Pand in gebruik,434,0.0046,0.8594,0.072,0.1429
0503100000039864,27.01,B,,2024,Pand in gebruik,444,0.0000,1.0000,0.000,0.0000
0503100000038401,23.90,B,,2024,Pand in gebruik,377,0.0000,0.9814,0.000,0.0000
0503100000038372,6.20,B,,2023,Pand in gebruik,98,0.0000,0.9082,0.000,0.0000
0503100000038376,6.19,B,,2023,Pand in gebruik,78,0.0000,1.0000,0.000,0.0000
0503100000038260,4.19,A,,2023,Pand in gebruik,221,0.0000,0.9955,0.000,0.0000
