bag_id,footprint_area_m2,alan,gebruiksdoel,bouwjaar,status,point_count,building_class_ratio,ground_class_ratio,single_return_density_above_2m,class6_footprint_coverage,K1,K2,K3
0503100000041285,1664.97,A,"onderwijsfunctie,sportfunctie",2026,Pand in gebruik (niet ingemeten),124119,0.0000,0.6213,0.058,0.0000,K1,,K3
0503100000038212,28.46,A,,2023,Pand in gebruik,9324,0.0000,0.2615,0.141,0.0000,K1,,K3
0503100000038664,25.31,B,,2022,Pand in gebruik,1586,0.0000,0.6248,0.474,0.0000,K1,,K3
0503100000038258,24.22,A,,2023,Pand in gebruik,2515,0.0000,0.2962,0.289,0.0000,K1,,K3
0503100000039606,15.41,A,,2002,Pand in gebruik,484,0.0000,0.1591,0.260,0.0000,K1,,K3
0503100000040430,13.98,B,,2019,Pand in gebruik,292,0.0000,0.0582,0.000,0.0000,K1,,K3
0503100000039604,13.81,A,,2020,Pand in gebruik,668,0.0000,0.1138,0.435,0.0000,K1,,K3
0503100000039605,13.40,A,,2021,Pand in gebruik,421,0.0000,0.1354,0.000,0.0000,K1,,K3
0503100000038860,13.38,B,,2013,Pand in gebruik,273,0.0000,0.0073,0.523,0.0000,K1,,K3
0503100000038879,13.19,B,,1982,Pand in gebruik,715,0.0000,0.0014,0.076,0.0000,K1,,K3
0503100000039615,12.16,A,,2015,Pand in gebruik,540,0.0000,0.0222,0.000,0.0000,K1,,K3
0503100000038727,9.73,B,,2014,Pand in gebruik,285,0.0000,0.0702,0.000,0.0000,K1,,K3
0503100000040378,9.07,B,,2007,Pand in gebruik,192,0.0000,0.1458,0.000,0.0000,K1,,K3
0503100000038676,8.84,A,,2014,Pand in gebruik,1336,0.0000,0.0719,0.000,0.0000,K1,,K3
0503100000039561,8.79,B,,1998,Pand in gebruik,392,0.0000,0.0000,0.000,0.0000,K1,,K3
0503100000038857,8.55,B,,1977,Pand in gebruik,221,0.0000,0.0452,0.702,0.0000,K1,,K3
0503100000038874,8.54,B,,2014,Pand in gebruik,506,0.0000,0.0040,0.937,0.0000,K1,,K3
0503100000036965,8.39,B,,2007,Pand in gebruik,228,0.0044,0.0000,0.000,0.1667,K1,,K3
0503100000039672,8.10,B,,2020,Pand in gebruik,245,0.0000,0.1755,0.123,0.0000,K1,,K3
0503100000040431,7.70,B,,2007,Pand in gebruik,161,0.0000,0.1801,0.000,0.0000,K1,,K3
0503100000039677,7.63,B,,1997,Pand in gebruik,217,0.0000,0.0230,0.000,0.0000,K1,,K3
0503100000038678,7.59,A,,1985,Pand in gebruik,302,0.0000,0.0728,0.000,0.0000,K1,,K3
0503100000039730,7.51,B,,2021,Pand in gebruik,350,0.0000,0.2086,0.000,0.0000,K1,,K3
0503100000038556,7.43,A,,2009,Pand in gebruik,489,0.0000,0.0020,0.404,0.0000,K1,,K3
0503100000039752,7.42,B,,2008,Pand in gebruik,347,0.0000,0.0000,0.000,0.0000,K1,,K3
0503100000038833,7.27,B,,1979,Pand in gebruik,185,0.0000,0.0270,0.138,0.0000,K1,,K3
0503100000038830,6.70,B,,2002,Pand in gebruik,185,0.0000,0.0054,0.448,0.0000,K1,,K3
0503100000039602,6.47,A,,2020,Pand in gebruik,193,0.0000,0.0518,0.000,0.0000,K1,,K3
0503100000038648,6.39,B,,2020,Pand in gebruik,128,0.0000,0.0938,0.000,0.0000,K1,,K3
0503100000038861,6.38,B,,2017,Pand in gebruik,112,0.0000,0.0000,0.000,0.0000,K1,,K3
0503100000038374,6.20,B,,2023,Pand in gebruik,99,0.0000,0.6970,0.000,0.0000,K1,,K3
0503100000038373,6.20,B,,2023,Pand in gebruik,108,0.0000,0.4259,0.000,0.0000,K1,,K3
0503100000038647,6.19,B,,2020,Pand in gebruik,273,0.0000,0.0659,0.000,0.0000,K1,,K3
0503100000038381,6.18,B,,2023,Pand in gebruik,103,0.0000,0.2524,0.000,0.0000,K1,,K3
0503100000038378,6.18,B,,2023,Pand in gebruik,102,0.0000,0.1275,0.000,0.0000,K1,,K3
0503100000038377,6.18,B,,2023,Pand in gebruik,108,0.0000,0.3519,0.000,0.0000,K1,,K3
0503100000039748,6.13,B,,2016,Pand in gebruik,276,0.0000,0.0109,0.000,0.0000,K1,,K3
0503100000039551,6.07,B,,2017,Pand in gebruik,160,0.0000,0.1562,0.988,0.0000,K1,,K3
0503100000040380,6.04,B,,2022,Pand in gebruik,136,0.0000,0.0882,0.000,0.0000,K1,,K3
0503100000038210,6.00,B,,2023,Pand in gebruik,1419,0.0000,0.2037,0.000,0.0000,K1,,K3
0503100000039628,6.00,A,,2011,Pand in gebruik,466,0.0000,0.0494,0.000,0.0000,K1,,K3
0503100000039614,5.96,A,,2000,Pand in gebruik,172,0.0000,0.0349,0.000,0.0000,K1,,K3
0503100000039685,5.85,B,,2022,Pand in gebruik,179,0.0000,0.0615,0.000,0.0000,K1,,K3
0503100000038789,5.71,B,,2019,Pand in gebruik,179,0.0000,0.0726,0.000,0.0000,K1,,K3
0503100000039665,5.45,B,,2019,Pand in gebruik,452,0.0000,0.0376,0.000,0.0000,K1,,K3
0503100000040389,5.44,B,,2010,Pand in gebruik,110,0.0000,0.0727,0.184,0.0000,K1,,K3
0503100000039756,5.41,B,,1987,Pand in gebruik,280,0.0000,0.0857,0.000,0.0000,K1,,K3
0503100000039621,5.02,A,,1998,Pand in gebruik,146,0.0000,0.0616,0.000,0.0000,K1,,K3
0503100000040345,4.72,B,,2021,Pand in gebruik,95,0.0000,0.1158,0.212,0.0000,K1,,K3
0503100000039618,4.70,A,,1997,Pand in gebruik,140,0.0000,0.1143,0.000,0.0000,K1,,K3
0503100000039617,4.31,A,,2009,Pand in gebruik,131,0.0000,0.0305,0.000,0.0000,K1,,K3
0503100000040429,4.25,B,,2017,Pand in gebruik,109,0.0000,0.2477,0.000,0.0000,K1,,K3
0503100000039644,4.09,A,,1997,Pand in gebruik,232,0.0000,0.0345,0.000,0.0000,K1,,K3
0503100000039616,3.56,A,,1998,Pand in gebruik,107,0.0000,0.0841,0.000,0.0000,K1,,K3
0503100000040392,3.38,B,,1997,Pand in gebruik,76,0.0000,0.0658,0.000,0.0000,K1,,K3
0503100000039597,3.12,B,,2024,Pand in gebruik,82,0.0000,0.4390,0.000,0.0000,K1,,K3
0503100000039758,3.12,B,,2021,Pand in gebruik,188,0.0000,0.1809,0.321,0.0000,K1,,K3
0503100000039627,3.05,A,,2015,Pand in gebruik,303,0.0000,0.0594,0.328,0.0000,K1,,K3
0503100000039629,2.81,A,,2022,Pand in gebruik,224,0.0000,0.1562,0.356,0.0000,K1,,K3
0503100000039633,2.62,A,,2016,Pand in gebruik,178,0.0000,0.1461,0.000,0.0000,K1,,K3
