bag_id,footprint_area_m2,alan,gebruiksdoel,bouwjaar,status,point_count,building_class_ratio,ground_class_ratio,single_return_density_above_2m,class6_footprint_coverage,bouwjaar_belirsiz
0503100000037335,1961.80,A,woonfunctie,2023,Pand in gebruik,62783,0.7439,0.0970,23.613,0.8586,EVET
0503100000041285,1664.97,A,"onderwijsfunctie,sportfunctie",2026,Pand in gebruik (niet ingemeten),124119,0.0000,0.6213,0.058,0.0000,hayir
0503100000037336,1251.64,A,"bijeenkomstfunctie,overige gebruiksfunctie,woonfunctie",2023,Pand in gebruik,84503,0.5655,0.0017,48.468,0.9944,EVET
0503100000037573,1078.16,B,"bijeenkomstfunctie,overige gebruiksfunctie,woonfunctie",2024,Pand in gebruik,22540,0.7540,0.0000,0.000,1.0000,hayir
0503100000038177,819.92,A,"winkelfunctie,woonfunctie",2025,Pand in gebruik,62165,0.7855,0.0017,69.580,0.9876,hayir
0503100000037594,596.05,B,"gezondheidszorgfunctie,woonfunctie",2023,Pand in gebruik,9917,0.9265,0.0001,14.262,0.9946,EVET
0503100000038202,485.66,B,"kantoorfunctie,woonfunctie",2025,Pand in gebruik,6880,0.0577,0.7839,1.518,0.1267,hayir
0503100000037337,348.75,B,"kantoorfunctie,winkelfunctie,woonfunctie",2023,Pand in gebruik,5944,0.9108,0.0000,0.000,1.0000,EVET
0503100000038425,334.50,B,"kantoorfunctie,woonfunctie",2026,Pand in gebruik (niet ingemeten),5649,0.0000,0.6245,3.456,0.0000,hayir
0503100000037558,122.54,B,woonfunctie,2023,Pand in gebruik,2457,0.7566,0.0000,0.000,0.9592,EVET
0503100000037362,89.89,B,woonfunctie,2023,Pand in gebruik,1703,0.8256,0.0018,16.910,1.0000,EVET
0503100000037559,86.86,B,woonfunctie,2024,Pand in gebruik,1165,0.3691,0.1768,6.125,0.4848,hayir
0503100000037556,86.15,B,woonfunctie,2024,Pand in gebruik,1081,0.3497,0.1758,3.900,0.6774,hayir
0503100000037321,81.41,B,"kantoorfunctie,woonfunctie",2023,Pand in gebruik,1371,0.8673,0.0000,0.000,0.9677,EVET
0503100000037331,71.57,B,woonfunctie,2023,Pand in gebruik,1647,0.6782,0.0000,0.000,0.9655,EVET
