bag_id,alan_csv_m2,alan_ref_m2,alan_bagimsiz_m2,alan_fark_m2,nokta_ref,nokta_bagimsiz,nokta_fark,sinif6_ref,sinif6_bagimsiz,sinif6_fark
0503100000009009,69.91,69.905241,69.905235,-0.000005710,2072,2072,0,1675,1675,0
0503100000013780,51.85,51.851558,51.851555,-0.000003129,3934,3934,0,3574,3574,0
0503100000014843,51.96,51.963920,51.963924,+0.000004908,1693,1693,0,1582,1582,0
0503100000015418,52.80,52.804010,52.804008,-0.000001516,2981,2981,0,2667,2667,0
0503100000019629,52.64,52.637205,52.637203,-0.000001784,2045,2045,0,1644,1644,0
0503100000019633,9.67,9.667970,9.667965,-0.000005065,340,340,0,296,296,0
0503100000019951,52.59,52.593366,52.593365,-0.000001284,1544,1544,0,1264,1264,0
0503100000025343,260.13,260.129431,260.129448,+0.000016937,18288,18288,0,13740,13740,0
0503100000027952,47.20,47.204032,47.204041,+0.000008527,2447,2447,0,2240,2240,0
0503100000031382,56.67,56.674179,56.674175,-0.000003738,2322,2322,0,1982,1982,0
