yukseklik_sinifi_m,bag_id,footprint_area_m2,bouwjaar,h_measured_m,roof_p70_z_nap_m,ground_z_nap_m,roof_span_m,building_class_ratio,class6_points,ground_ring_points,sinif_aday_sayisi,KAT_SAYISI_kullanici,NOT_kullanici,kat_yuksekligi_m,tip_grubu
3,0503100000023497,61.37,1969,3.200,3.050,-0.150,0.000,0.9559,1993,3703,3,,,,
6,0503100000019104,52.64,1966,5.800,4.350,-1.450,0.000,0.9618,1309,2379,337,,,,
8,0503100000026852,60.07,1965,8.000,6.850,-1.150,0.100,0.9674,2523,2724,70,,,,
9,0503100000010265,53.37,1969,8.500,6.950,-1.550,0.000,0.9662,4628,4769,73,,,,
11,0503100000026771,61.59,1966,10.600,8.950,-1.650,0.600,0.9285,1689,1484,5,,,,
14,0503100000023053,675.60,1961,14.300,14.150,-0.150,0.100,0.8496,29906,25587,4,,,,
26,0503100000019378,209.23,1968,25.800,23.950,-1.850,0.800,0.9567,11659,5205,9,,,,
35,0503100000000022,853.34,1962,34.700,34.550,-0.150,0.100,0.8381,27822,18799,3,,,,
37,0503100000019685,323.24,1971,36.600,35.350,-1.250,0.200,0.7993,8162,3924,10,,,,
6,0503100000018892,52.30,1966,5.800,4.350,-1.450,0.100,0.9516,1358,2645,337,,,,
