sira,yukseklik_sinifi_m,bag_id,footprint_area_m2,bouwjaar,h_measured_m,roof_span_m,building_class_ratio,sinif_aday_sayisi,DURUM
1,3,0503100000023497,61.37,1969,3.200,0.000,0.9559,3,ONERI - MUHURLU DEGIL - P-020 ONAYI BEKLIYOR
2,6,0503100000019104,52.64,1966,5.800,0.000,0.9618,337,ONERI - MUHURLU DEGIL - P-020 ONAYI BEKLIYOR
3,8,0503100000026852,60.07,1965,8.000,0.100,0.9674,70,ONERI - MUHURLU DEGIL - P-020 ONAYI BEKLIYOR
4,9,0503100000010265,53.37,1969,8.500,0.000,0.9662,73,ONERI - MUHURLU DEGIL - P-020 ONAYI BEKLIYOR
5,11,0503100000026771,61.59,1966,10.600,0.600,0.9285,5,ONERI - MUHURLU DEGIL - P-020 ONAYI BEKLIYOR
6,14,0503100000023053,675.60,1961,14.300,0.100,0.8496,4,ONERI - MUHURLU DEGIL - P-020 ONAYI BEKLIYOR
7,26,0503100000019378,209.23,1968,25.800,0.800,0.9567,9,ONERI - MUHURLU DEGIL - P-020 ONAYI BEKLIYOR
8,35,0503100000000022,853.34,1962,34.700,0.100,0.8381,3,ONERI - MUHURLU DEGIL - P-020 ONAYI BEKLIYOR
9,37,0503100000019685,323.24,1971,36.600,0.200,0.7993,10,ONERI - MUHURLU DEGIL - P-020 ONAYI BEKLIYOR
10,6,0503100000018892,52.30,1966,5.800,0.100,0.9516,337,ONERI - MUHURLU DEGIL - P-020 ONAYI BEKLIYOR
